"Message","Count"
"The language must be specified (xml:lang in OPF package)","63"
"Publications must declare the 'schema:accessMode' metadata","79"
"Publications must declare the 'schema:accessModeSufficient' metadata","79"
"Publications must declare the 'schema:accessibilityFeature' metadata","79"
"Publications must declare the 'schema:accessibilityHazard' metadata","79"
"Publications must declare the 'schema:accessibilitySummary' metadata","79"
"The link has insufficient color contrast of 2.23:1 with the surrounding text. (Minimum contrast is 3:1, link text: #0000ee, surrounding text: #000000)
The link has no styling (such as underline) to distinguish it from the surrounding text","751"
"Element does not have text that is visible to screen readers","7"
"Element has insufficient color contrast of 2.35 (foreground color: #a7a9ac, background color: #ffffff, font size: 18.8pt (25px), font weight: bold). Expected contrast ratio of 3:1","8"
"Element has insufficient color contrast of 2.35 (foreground color: #a7a9ac, background color: #ffffff, font size: 22.5pt (30px), font weight: bold). Expected contrast ratio of 3:1","14"
"Element has insufficient color contrast of 2.35 (foreground color: #a7a9ac, background color: #ffffff, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1","15"
"Element has insufficient color contrast of 2.35 (foreground color: #a7a9ac, background color: #ffffff, font size: 12.0pt (16px), font weight: bold). Expected contrast ratio of 4.5:1","3"
"Heading order invalid","28"
"The <html> element does not have a lang attribute","488"
"Publications with page breaks must declare the 'dc:source / pageBreakSource' metadata","15"
"Element has no ARIA role matching its epub:type","318"
"The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable","14"
"Publication page list must reference all page breaks (01_9780700636839_Halftitle.xhtml#page_i)","2"
"Publication page list must reference all page breaks (01_9780700636839_Halftitle.xhtml#page_ii)","2"
"Publication page list must reference all page breaks (02_9780700636839_Title.xhtml#page_iii)","2"
"Publication page list must reference all page breaks (03_9780700636839_Copyright.xhtml#page_iv)","2"
"Publication page list must reference all page breaks (04_9780700636839_Dedication.xhtml#page_v)","2"
"Publication page list must reference all page breaks (04_9780700636839_Dedication.xhtml#page_vi)","2"
"Publication page list must reference all page breaks (05_9780700636839_Contents.xhtml#page_vii)","2"
"Publication page list must reference all page breaks (05_9780700636839_Contents.xhtml#page_viii)","2"
"Publication page list must reference all page breaks (06_9780700636839_Maps.xhtml#page_ix)","2"
"Publication page list must reference all page breaks (06_9780700636839_Maps.xhtml#page_x)","2"
"Publication page list must reference all page breaks (07_9780700636839_Preface.xhtml#page_xi)","2"
"Publication page list must reference all page breaks (07_9780700636839_Preface.xhtml#page_xii)","2"
"Publication page list must reference all page breaks (07_9780700636839_Preface.xhtml#page_xiii)","2"
"Publication page list must reference all page breaks (07_9780700636839_Preface.xhtml#page_xiv)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_1)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_2)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_3)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_4)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_5)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_6)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_7)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_8)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_9)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_10)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_11)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_12)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_13)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_14)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_15)","2"
"Publication page list must reference all page breaks (08_9780700636839_Chapter01.xhtml#page_16)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_17)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_18)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_19)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_20)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_21)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_22)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_23)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_24)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_25)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_26)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_27)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_28)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_29)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_30)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_31)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_32)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_33)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_34)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_35)","2"
"Publication page list must reference all page breaks (09_9780700636839_Chapter02.xhtml#page_36)","2"
"Publication page list must reference all page breaks (10_9780700636839_Chapter03.xhtml#page_37)","2"
"Publication page list must reference all page breaks (10_9780700636839_Chapter03.xhtml#page_38)","2"
